FEATURE CARRIED,CONDITION RATING,VERBAL RATING
FARMERS BLVD,4.477,FAIR
SPRINGFIELD BLVD,4.591,FAIR
225TH ST,4.614,FAIR
SUNRISE HWY W.B.,4.262,FAIR
SUNRISE HWY W.B.,4.565,FAIR
N CONDUIT AVE WB,4.917,FAIR
N CONDUIT AVE WB,4.932,FAIR
FRANCIS LEWIS BLVD,5.033,GOOD
FRANCIS LEWIS BLVD,4.700,FAIR
MERRICK BLVD,4.467,FAIR
MERRICK BLVD,4.200,FAIR
130TH AVE,5.133,GOOD
130TH AVE,4.700,FAIR
LINDEN BLVD,4.432,FAIR
BCIP,4.233,FAIR
BELMONT PARK SO. RAMP,4.781,FAIR
HEMPSTEAD AVE,4.000,FAIR
BELMONT PARK NO. RAMP,4.563,FAIR
SUPERIOR ROAD,4.682,FAIR
JAMAICA AVE,4.773,FAIR
BRADDOCK AVE,4.886,FAIR
HILLSIDE AVE,4.211,FAIR
UNION TPKE,4.409,FAIR
W ALLEY ROAD,5.368,GOOD
NORTHERN BLVD,5.764,GOOD
CROCHERON PK PED,3.800,FAIR
28TH AVE PED BRDG,4.615,FAIR
BCIP,4.609,FAIR
UTOPIA PKWY,5.341,GOOD
160TH ST,5.694,GOOD
FRANCIS LEWIS BLVD,4.682,FAIR
CLINTONVILLE ST,4.705,FAIR
150TH ST,4.591,FAIR
149TH ST,4.795,FAIR
14TH AVE,4.523,FAIR
147TH ST,4.705,FAIR
BATTERY PLACE,5.182,GOOD
FDR DR N.B. OFF RMP,4.493,FAIR
STH ST RMP TO FDR S.B.,3.881,FAIR
FDR DR S.B. OFF RMP,5.209,GOOD
RAMP TO N.B. FDR DRIVE,4.967,FAIR
CORLEARS PARK ROAD,3.813,FAIR
DELANCEY ST PED BRDG,4.443,FAIR
HOUSTON ST,3.750,FAIR
FDR NB RAMP TO HOUSTON ST,4.706,FAIR
HOUSTON ST RAMP TO FDR NB,4.792,FAIR
E 6TH ST PED BRDG,4.233,FAIR
E 25TH ST PED BRDG,4.600,FAIR
E 51ST ST PED BRDG,4.417,FAIR
E 63TH ST PED BRDG,4.912,FAIR
E 71ST ST PED BRDG,4.761,FAIR
E 78TH ST PED BRDG,6.700,VGOOD
PROMENADE OVER FDR,3.143,FAIR
E 103RD ST PED BRDG,4.512,FAIR
E 111TH ST PED BRDG,4.319,FAIR
E 120TH ST PED BRDG,4.114,FAIR
E 10TH ST PED BRDG,4.596,FAIR
FDR DRIVE SB,6.563,VGOOD
E 60TH ST,4.972,FAIR
HARLEM RIVER DRIVE,3.493,FAIR
E 14 ST PED BRDG,4.164,FAIR
BROOKLYN BRIDGE,3.139,FAIR
PARK ROW TO BKLN,5.086,GOOD
TO BKLN FRM FDR,4.926,FAIR
PEARL ST TO BKLN,3.814,FAIR
TO FDR DR N.B.,4.528,FAIR
TO PEARL ST,4.944,FAIR
PEARL ST TO FDR DR,5.028,GOOD
TO PARK ROW,4.549,FAIR
MANHATTAN BRIDGE(LL),4.375,FAIR
MANHATTAN BRIDGE(UL),3.757,FAIR
WILLIAMSBURG BRIDGE,4.542,FAIR
QUEENSBORO BRIDGE (LL),4.167,FAIR
QUEENSBORO BRIDGE (UL),4.340,FAIR
TO E 60TH ST FROM QNS,5.338,GOOD
TO QNS FROM E 59TH ST,5.542,GOOD
TO E 62ND ST FROM QNS,4.985,FAIR
TO QNS FROM E 58TH ST,4.396,FAIR
TO NY FR THOMSON AVE,4.679,FAIR
TO NY FROM 21ST ST,4.712,FAIR
TO NY FROM 11TH ST,5.268,GOOD
TO 21ST ST FROM NY,4.366,FAIR
TO THOMSON AVE FROM NY,5.148,GOOD
25X TO/FROM 2ND AVE,4.829,FAIR
WILLIS AVE BRIDGE,6.778,VGOOD
RAMP FROM FDR DRIVE,6.887,VGOOD
TO BRUCKNER BLVD,6.775,VGOOD
THIRD AVE BRIDGE,5.789,GOOD
FROM BRUCKNER BLVD,6.310,VGOOD
MADISON AVE BRIDGE,4.861,FAIR
RAMP TO MADISON AVENUE,5.028,GOOD
145TH ST BRIDGE,6.278,VGOOD
W 207TH/W FORDHAM RD,5.000,GOOD
BROADWAY BRIDGE,3.806,FAIR
NYCTA IRT,4.720,FAIR
WESTCHESTER AVE,4.667,FAIR
SHORE ROAD,4.299,FAIR
CITY ISLAND ROAD,3.444,FAIR
HAMILTON AVE BRIDGE,5.472,GOOD
HAMILTON AVE BRIDGE,5.361,GOOD
NINTH ST BRIDGE,6.161,VGOOD
THIRD ST,4.722,FAIR
CARROLL ST,4.931,FAIR
UNION ST,4.111,FAIR
METROPOLITAN AVE,5.778,GOOD
CROPSEY AVE SB,5.000,GOOD
CROPSEY AVE NB,4.718,FAIR
THIRD AVE,6.550,VGOOD
OCEAN AVE PED BRDG,5.000,GOOD
RICHMOND AVE,5.194,GOOD
GREENPOINT AVE BRIDGE,5.083,GOOD
GRAND ST BRIDGE,4.014,FAIR
BORDEN AVE,4.806,FAIR
NORTHERN BLVD,4.681,FAIR
HUNTERS PT AVE,5.056,GOOD
ROOSEVELT AVE,3.521,FAIR
STILLWELL AVE,6.125,VGOOD
WARDS ISLAND PED BRDG,5.067,GOOD
PULASKI BRIDGE,4.437,FAIR
ROOSEVELT ISLAND BRDG,5.569,GOOD
163RD AVE PED BRDG,4.037,FAIR
