FEATURE CARRIED,CONDITION RATING,VERBAL RATING
MORNINGSTAR ROAD,4.627,FAIR
GRANITE AVE,5.966,GOOD
LAKE AVE,4.556,FAIR
SIMONSON AVE,5.852,GOOD
VAN NAME AVE,5.186,GOOD
VAN PELT AVE,5.576,GOOD
DE HART AVE,6.389,VGOOD
UNION AVE,5.130,GOOD
HARBOR ROAD,6.000,GOOD
SOUTH AVE,6.527,VGOOD
MAIN ST PED BRDG,4.263,FAIR
TRACY AVE PED BRDG,3.894,FAIR
ARTHUR KILL ROAD,4.796,FAIR
BETHEL AV PED BRDG,3.754,FAIR
PAGE AVE,5.806,GOOD
RICHMOND VALLEY ROAD,5.164,GOOD
RICHMOND VALLEY STA PED BRDG,4.393,FAIR
SEGUINE AVE,6.016,VGOOD
HUGUENOT AVE,4.788,FAIR
ALBEE AVE,4.689,FAIR
ANNADALE ROAD,6.233,VGOOD
NELSON AVE PED BRDG,4.115,FAIR
GIFFORDS LANE,5.625,GOOD
GREAVES AVE,6.533,VGOOD
GUYON AVE,4.672,FAIR
CEDARVIEW AVE PED BRDG,3.615,FAIR
BEACH AVE,5.364,GOOD
ROSS AVE,5.182,GOOD
ROSE AVE,5.258,GOOD
NEW DORP LANE,4.955,FAIR
BANCROFT AVE,5.393,GOOD
FREMONT AVE PED BRDG,4.164,FAIR
LINCOLN AVE,5.172,GOOD
MIDLAND AVE,5.466,GOOD
WEST FINGERBOARD RD,6.403,VGOOD
CLOVE ROAD,5.778,GOOD
TOMPKINS AVE,5.269,GOOD
HANNAH ST,4.627,FAIR
MINTHORNE ST PED BRDG,4.547,FAIR
BELFIELD AVE PED BRDG,3.902,FAIR
WEST FOOTBRIDGE,3.857,FAIR
EAST FOOTBRIDGE,4.143,FAIR
BRIDGE OVER DAM,3.351,FAIR
MARTLINGS AVE,4.467,FAIR
S OF BROOKS LAKE,4.651,FAIR
FOOTBRIDGE,3.867,FAIR
FB S OF FOREST AV,4.651,FAIR
FOREST AVE,4.300,FAIR
HYLAN BLVD,6.172,VGOOD
ARTHUR KILL ROAD,4.102,FAIR
TOMPKINS AVE,4.638,FAIR
SLATER BLVD,5.510,GOOD
TRAVIS AVE,5.483,GOOD
CHELSEA ROAD,6.633,VGOOD
MILLER HWY - RTE 9A,4.296,FAIR
DOUGLASTON PKWY,4.592,FAIR
DOUGLASTON PKWY,4.653,FAIR
HEMPSTEAD AVE,4.190,FAIR
678I SB TO BCIP EB,4.156,FAIR
HHP,5.000,GOOD
HHP NB,5.000,GOOD
HHP SB,5.526,GOOD
278I,4.435,FAIR
W 31ST ST,3.619,FAIR
BCIP,4.972,FAIR
RIVERSIDE DRIVE,5.000,GOOD
ROOSEVELT AVE,4.651,FAIR
FRANCIS LEWIS BLVD,5.300,GOOD
HRD RAMP TO GWB,3.042,FAIR
HHP,3.548,FAIR
WEST STREET,5.033,GOOD
79 ST PED PLAZA,4.444,FAIR
79 ST TRAFFIC CIRC,3.754,FAIR
79 ST RAMP TO HHP,4.221,FAIR
79 ST RAMP TO GAR,4.452,FAIR
GAR RAMP TO 79 ST,4.435,FAIR
SB HHP RAMP TO 79 ST,4.403,FAIR
BROOKLYN BR APPROACH,4.344,FAIR
BROOKLYN PROMENADE,3.828,FAIR
CHAMBERS ST PED BRDG,5.391,GOOD
278I W.B.  (B.Q.E.),4.357,FAIR
278I E.B.  (B.Q.E.),3.754,FAIR
278I W.B.  (B.Q.E.),4.071,FAIR
278I E.B.  (B.Q.E.),4.297,FAIR
278I W.B.  (B.Q.E.),4.104,FAIR
278I E.B.  (B.Q.E.),4.119,FAIR
FDR NB E42ND TO E49TH ST,3.836,FAIR
PS-5 PED BRDG,4.347,FAIR
SPRINGFIELD BLVD,4.889,FAIR
AMBOY ROAD,6.333,VGOOD
MORRIS ST PED BRDG,3.875,FAIR
MATTHEWSON ROAD,4.175,FAIR
W 70TH ST,5.542,GOOD
RIVERSIDE DRIVE SOUTH,5.792,GOOD
W 68TH ST,6.542,VGOOD
RIVERSIDE DRIVE,4.640,FAIR
ERSKINE ST,5.938,GOOD
PARKING EXIT RAMP,6.097,VGOOD
BUS STATION NORTH,5.600,GOOD
BUS STATION SOUTH,5.280,GOOD
NORTH RAMP,6.431,VGOOD
BUS STA ENTR RAMP,5.431,GOOD
PARKING ENTR RAMP,5.889,GOOD
BUS STATION EXIT RAMP,5.167,GOOD
E 81 ST PED BRDG,3.439,FAIR
E 156TH ST,3.493,FAIR
SI FERRY PED BRDG,5.600,GOOD
BOROUGH PLACE - RAMP A,6.594,VGOOD
BROOKE AVE,3.873,FAIR
ROCKAWAY BLVD,5.763,GOOD
216TH ST PED BRDG,3.111,FAIR
167TH ST PED BRDG,4.000,FAIR
W191ST ST PED TNL,4.364,FAIR
HHP ON/OFF RMP-79TH ST SO. SIDE,4.500,FAIR
HHP ON/OFF RMP-79TH ST NO. SIDE,4.667,FAIR
BCIP,4.400,FAIR
